id,сумма_займа,срок_займа,процентная_ставка,аннуитет,рейтинг,допрейтинг,профессия_заемщика,стаж,владение_жильем,годовой_доход,подтвержден_ли_доход,итоговый_статус_займа,рейтинг_OCR,платежный_график,коэфф_акционных_зачислений_в_остатке,цель_займа,кол_во_субсидий_за_год,индекс_проживания,регион,пдн,пос_стоп_фактор,юридический_статус,кол-во_просрочек_за_два_года,коэфф_невыплаченного_сумм_остатка,коэфф_исходного_платежа,дата_первого_займа,нижний_порог_рейтинга_заемщика,верхний_порог_рейтинга_заемщика,кол-во_заявок_за_полгода,кол-во_месяцев_с_последней_просрочки,кол-во_месяцев_с_последнего_займа,кол-во_открытых_счетов,кол-во_записей_в_общедоступных_документах,оборотный_баланс,коэфф_загрузки_возобновляемого_счета,кол-во_счетов,первоначальный_статус_займа,непогашенная_сумма_из_тела_займов,сумма_выплат_по_просрочкам,пени_за_дефолт,дата_следующей_выплаты,грейд_на_детерминаторе,кол-во_взысканий_за_последний_год,кол-во_месяцев_с_последнего_нарушения,код_политики,тип_займа,совокупный_доход_заемщиков,совокупный_пдн_заемщиков,совокупный_статус_подтверждения_доходов_заемщиков,кол-во_текущих_просроченных_счетов,общая_сумма_взысканий,возвраты_с_учетом_мпл,общая_сумма_на_счетах,кол-во_открытых_счетов_за_полгода,кол-во_текущих_аннуитетных_счетов,кол-во_аннуитетных_счетов_за_год,кол-во_аннуитетных_счетов_за_2_года,кол-во_месяцев_с_посл_аннуитетного_счета,текущий_баланс_по_аннуитетным_счетам,соотношение_сумм_текущего_баланса_к_лимиту_по_аннуитетным_счетам,кол-во_возоб_счетов_за_год,кол-во_возоб_счетов_за_2_года,макс_баланс_по_возоб_счетам,соотношение_баланса_к_лимиту_общее,общий_лимит_по_возоб_счету,кол-во_финансовых_запросов,кол-во_финансовых_операций,кол-во_заявок_на_кредит_за_год,кол-во_открытых_счетов_за_2_года,средний_баланс_текущих_счетов,суммарная_доступная_сумма_займа_по_картам,соотношение_баланса_к_лимиту_по_картам,кол-во_списаний_за_год,сумма_задолженности,кол-во_месяцев_с_первого_аннуитетного_счета,кол-во_месяцев_с_первого_возобновляемого_счета,кол-во_месяцев_с_последнего_возобновляемого_счета,кол-во_месяцев_с_последнего_счета,кол-во_ипотек,кол-во_месяцев_с_последней_карты,кол-во_мес_с_последней_задолженности_по_карте,кол-во_мес_с_последней_заявки,кол-во_мес_с_последней_задолженности_по_возобновляемому_счету,кол-во_счетов_с_просрочкой_4_мес,кол-во_активных_карт,кол-во_активных_возобновляемых_счетов,кол-во_карт_без_нарушений,кол-во_карт,кол-во_аннуитетных_счетов,кол-во_открытых_возобновляемых_счетов,кол-во_возобновляемых_счетов,кол-во_возобновляемых_счетов_с_балансом_более_0,кол-во_счетов_без_нарушений,кол-во_счетов_с_акт_просрочкой_4_мес_обн_2_мес,кол-во_счетов_с_акт_просрочкой_1_мес,кол-во_счетов_с_акт_просрочкой_3_мес_за_2_года,кол-во_счетов_за_посл_год,процент_счетов_без_просрочек,процент_счетов_прев_75_лимита,кол-во_публ_банкротств,кол-во_залогов,кредитный_лимит,кредитный_баланс_без_ипотеки,лимит_по_картам,лимит_по_аннуитетным_счетам,кредитный_баланс_по_возоб_счетам,особая_ситуация,тип_предоставления_кредита
68355089,1235000.0,3 года,11.99,41014.0,В,В1,инженер,10+ лет,ИПОТЕКА,1300000.0,Не подтвержден,0,4,n,0.8991677172887655,мелкий_бизнес,0,577.0,Новгородская область,16.06,Нет,Нет,1.0,1345311.5381317567,0.7670162197697802,12-1999,715.0,719.0,4.0,6.0,,22.0,0.0,21470.0,19.2,38.0,а,0.0,0.0,False,,5,0.0,,1.0,Индивидуальный,,,,0.0,0.0,12213,10219800.0,1.0,1.0,0.0,1.0,19.0,900250.0,73.0,2.0,3.0,6472.0,29.0,5590000.0,0.0,0.0,6.0,4.0,486650.0,2891500.0,27.1,0.0,0.0,113.0,192.0,2.0,2.0,4.0,2.0,,0.0,6.0,0.0,5.0,5.0,13.0,17.0,6.0,20.0,27.0,5.0,22.0,0.0,0.0,0.0,2.0,97.4,7.7,0.0,0.0,15700850.0,1973750.0,3965000.0,1233350.0,,Нет,Наличные
68341763,1000000.0,5 лет,10.78,21633.0,Б,Б4,водитель грузовика,10+ лет,ИПОТЕКА,1260000.0,Не подтвержден,0,2,n,0.4898907196692188,улучшение_жилищных_условий,0,605.0,Республика Татарстан,10.78,Нет,Нет,0.0,1345311.5381317567,0.2299904621328343,8-2000,695.0,699.0,0.0,,,6.0,0.0,7869.0,56.2,18.0,а,0.0,0.0,nan,,1,0.0,,1.0,Совместный,3550000.0,13.85,Не подтвержден,0.0,0.0,36245,9484950.0,0.0,1.0,0.0,4.0,19.0,541350.0,73.0,0.0,2.0,2081.0,65.0,700000.0,2.0,5.0,1.0,6.0,1580850.0,136850.0,55.9,0.0,0.0,125.0,184.0,14.0,14.0,5.0,101.0,,10.0,,0.0,2.0,3.0,2.0,4.0,6.0,4.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,10920900.0,934800.0,310000.0,743850.0,,Нет,Наличные
68426831,597500.0,3 года,13.44,20259.0,В,В3,ветеринарный техник,4 года,АРЕНДА,680000.0,Подтвержден источник,0,3,n,0.9386622454812908,консолидация_долга,0,300.0,Республика Коми,10.2,Под вопросом,Нет,0.0,1345311.5381317567,0.9613412141762576,10-1987,690.0,694.0,0.0,,,5.0,0.0,8822.0,68.4,6.0,а,0.0,0.0,False,,4,0.0,,1.0,Индивидуальный,,,,0.0,0.0,53551,639900.0,0.0,1.0,0.0,0.0,338.0,198800.0,99.0,0.0,0.0,4522.0,76.0,645000.0,0.0,0.0,0.0,0.0,128000.0,42200.0,91.0,0.0,0.0,338.0,54.0,32.0,32.0,0.0,36.0,,,,0.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,845000.0,639900.0,470000.0,200000.0,,Нет,Наличные
68476668,1000000.0,3 года,9.17,31879.000000000004,Б,Б2,вице-президент операций по набору персонала,10+ лет,ИПОТЕКА,3600000.0,Не подтвержден,0,1,n,0.868177451617893,консолидация_долга,0,550.0,Томская область,14.67,Нет,Нет,0.0,1345311.5381317567,0.2907273177126829,6-1990,680.0,684.0,0.0,49.0,,12.0,0.0,87329.0,84.5,27.0,б,0.0,0.0,nan,,3,0.0,,1.0,Индивидуальный,,,,0.0,0.0,48391,18017900.0,0.0,2.0,0.0,2.0,18.0,1471650.0,63.0,2.0,3.0,13048.0,74.0,4710000.0,1.0,0.0,1.0,6.0,1501500.0,0.0,102.9,0.0,0.0,142.0,306.0,10.0,10.0,4.0,12.0,,10.0,,0.0,4.0,6.0,4.0,5.0,7.0,9.0,16.0,6.0,12.0,0.0,0.0,0.0,2.0,96.3,100.0,0.0,0.0,19442600.0,5838100.0,1575000.0,2322600.0,,Нет,Наличные
67275481,1000000.0,3 года,8.49,31563.0,Б,Б1,дорожному водителю,10+ лет,ИПОТЕКА,1700000.0,Не подтвержден,0,4,n,0.2492540869184519,крупная_покупка,0,293.0,Белгородская область,17.61,Нет,Да,1.0,1345311.5381317567,0.6888977383343706,2-1999,705.0,709.0,0.0,3.0,,8.0,0.0,826.0,5.7,15.0,а,0.0,0.0,False,,2,0.0,3.0,1.0,Индивидуальный,,,,0.0,0.0,96028,7080050.0,0.0,3.0,0.0,4.0,13.0,1355550.0,75.0,0.0,0.0,640.0,55.0,725000.0,1.0,0.0,2.0,4.0,885000.0,683700.0,5.7,0.0,0.0,149.0,55.0,32.0,13.0,3.0,32.0,,8.0,,1.0,2.0,2.0,3.0,3.0,9.0,3.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,93.3,0.0,0.0,0.0,9669500.0,1396850.0,725000.0,1807200.0,,Нет,Наличные
68466926,500000.0,3 года,6.49,15322.5,А,А2,управление услугами,6 лет,АРЕНДА,1700000.0,Не подтвержден,0,2,n,0.3731746480784373,кредитная_карта,0,160.0,Амурская область,13.07,Под вопросом,Нет,0.0,1345311.5381317567,0.5240092816805167,4-2002,685.0,689.0,1.0,,106.0,14.0,1.0,10464.0,34.5,23.0,а,0.0,0.0,nan,,2,0.0,,1.0,Индивидуальный,,,,0.0,8341.0,78231,1397850.0,2.0,1.0,0.0,0.0,35.0,874650.0,57.0,2.0,7.0,2524.0,46.0,1515000.0,2.0,0.0,1.0,7.0,99850.0,409100.0,50.1,0.0,0.0,164.0,129.0,1.0,1.0,1.0,4.0,,1.0,,0.0,6.0,9.0,7.0,10.0,3.0,13.0,19.0,9.0,14.0,0.0,0.0,0.0,2.0,95.7,28.6,1.0,0.0,3054950.0,1397850.0,820000.0,1539950.0,,Нет,Наличные
68616873,400000.0,3 года,11.48,13187.0,Б,Б5,связь с поставщиками,10+ лет,ИПОТЕКА,840000.0,Не подтвержден,0,3,n,0.33389351297123,кредитная_карта,0,29.0,Республика Адыгея,34.8,Нет,Нет,0.0,1345311.5381317567,0.3030901413062288,11-1994,700.0,704.0,0.0,75.0,,8.0,0.0,7034.0,39.1,18.0,а,0.0,0.0,False,,2,0.0,75.0,1.0,Индивидуальный,,,,0.0,0.0,28729,9984800.0,0.0,2.0,2.0,3.0,10.0,5337400.0,72.0,0.0,2.0,4725.0,49.0,900000.0,0.0,0.0,1.0,5.0,1426400.0,498300.0,41.4,0.0,0.0,155.0,253.0,15.0,10.0,1.0,50.0,,10.0,,1.0,3.0,3.0,3.0,6.0,5.0,5.0,11.0,3.0,8.0,0.0,0.0,0.0,2.0,94.4,33.3,0.0,0.0,12825650.0,5689100.0,850000.0,6775650.0,,Нет,Наличные
68338832,70000.0,3 года,12.88,2355.0,В,В2,руководитель материально-технического обеспечения,3 года,ИПОТЕКА,1280000.0,Не подтвержден,0,1,n,0.0598059340237645,другое,0,275.0,Калининградская область,34.95,Да,Нет,0.0,1345311.5381317567,0.786937554538341,6-1996,700.0,704.0,0.0,,,17.0,0.0,37828.0,67.2,24.0,а,0.0,0.0,False,,2,0.0,,1.0,Индивидуальный,,,,0.0,0.0,24279,16284750.0,1.0,3.0,1.0,2.0,2.0,1871500.0,67.0,0.0,2.0,7386.0,67.0,2815000.0,0.0,2.0,0.0,4.0,957950.0,397000.0,77.0,0.0,0.0,46.0,234.0,18.0,2.0,4.0,28.0,,18.0,,0.0,7.0,11.0,8.0,11.0,3.0,12.0,17.0,11.0,17.0,0.0,0.0,0.0,1.0,100.0,75.0,0.0,0.0,18605450.0,3762900.0,1725000.0,2775050.0,,Нет,Наличные
66624733,900000.0,5 лет,19.48,23585.0,Д,Д2,менеджер программного обеспечения,7 лет,АРЕНДА,3000000.0,Не подтвержден,1,3,n,0.7181720455789701,консолидация_долга,0,916.0,Московская область,9.39,Под вопросом,Да,0.0,1345311.5381317567,0.1861466116973117,6-2005,665.0,669.0,1.0,,75.0,18.0,1.0,14052.0,40.7,27.0,а,0.0,0.0,True,,3,0.0,,1.0,Индивидуальный,,,,0.0,60.0,28006,1812350.0,2.0,2.0,1.0,3.0,2.0,1109750.0,71.0,2.0,4.0,1271.0,55.0,1725000.0,2.0,1.0,2.0,7.0,100700.0,256400.0,51.3,0.0,0.0,115.0,112.0,1.0,1.0,2.0,9.0,,2.0,,0.0,6.0,13.0,7.0,8.0,6.0,16.0,19.0,13.0,18.0,0.0,0.0,0.0,3.0,100.0,14.3,1.0,0.0,3290950.0,1812350.0,515000.0,1565950.0,,Нет,Наличные
68466961,1400000.0,3 года,6.49,42902.5,А,А2,старший руководитель,10+ лет,ИПОТЕКА,1840000.0,Не подтвержден,0,2,n,0.904546698068267,консолидация_долга,0,275.0,Калининградская область,21.6,Нет,Нет,0.0,1345311.5381317567,0.6092893210167925,5-1984,720.0,724.0,0.0,42.0,,16.0,0.0,51507.0,64.5,24.0,а,0.0,0.0,False,,2,0.0,,1.0,Индивидуальный,,,,0.0,0.0,38544,11055500.0,0.0,2.0,0.0,0.0,27.0,1170650.0,55.0,0.0,1.0,8752.0,61.0,3995000.0,0.0,1.0,0.0,1.0,690950.0,831150.0,59.9,0.0,0.0,82.0,379.0,19.0,19.0,2.0,19.0,48.0,,42.0,0.0,7.0,9.0,9.0,11.0,4.0,13.0,18.0,9.0,16.0,0.0,0.0,0.0,0.0,91.7,22.2,0.0,0.0,15200150.0,3746000.0,2075000.0,2125150.0,,Нет,Наличные
